,Code,ASJC category,Subject area
303,3321,Public Administration,Social Sciences & Humanities
304,3322,Urban Studies,Social Sciences & Humanities
305,3400,General Veterinary,Health Sciences
306,3401,Veterinary (miscellaneous),Health Sciences
307,3402,Equine,Health Sciences
308,3403,Food Animals,Health Sciences
309,3404,Small Animals,Health Sciences
310,3500,General Dentistry,Health Sciences
311,3501,Dentistry (miscellaneous),Health Sciences
312,3502,Dental Assisting,Health Sciences
313,3503,Dental Hygiene,Health Sciences
314,3504,Oral Surgery,Health Sciences
315,3505,Orthodontics,Health Sciences
316,3506,Periodontics,Health Sciences
317,3600,General Health Professions,Health Sciences
318,3601,Health Professions (miscellaneous),Health Sciences
319,3602,Chiropractics,Health Sciences
320,3603,Complementary and Manual Therapy,Health Sciences
321,3604,Emergency Medical Services,Health Sciences
322,3605,Health Information Management,Health Sciences
323,3606,Medical Assisting and Transcription,Health Sciences
324,3607,Medical Laboratory Technology,Health Sciences
325,3608,Medical Terminology,Health Sciences
326,3609,Occupational Therapy,Health Sciences
327,3610,Optometry,Health Sciences
328,3611,Pharmacy,Health Sciences
329,3612,"Physical Therapy, Sports Therapy and Rehabilitation",Health Sciences
330,3613,Podiatry,Health Sciences
331,3614,Radiological and Ultrasound Technology,Health Sciences
332,3615,Respiratory Care,Health Sciences
333,3616,Speech and Hearing,Health Sciences
